"title","author","author_url","rating","voters_count","url"
"Watership Down (Watership Down, #1)","Richard  Adams","https://www.goodreads.com/author/show/7717.Richard_Adams","4.06","413660","https://goodreads.com/book/show/76620.Watership_Down"
"Dracula","Bram Stoker","https://www.goodreads.com/author/show/6988.Bram_Stoker","3.99","872246","https://goodreads.com/book/show/17245.Dracula"
"Beauty and the Beast","Jeanne-Marie Leprince de Beaumont","https://www.goodreads.com/author/show/4955836.Jeanne_Marie_Leprince_de_Beaumont","3.98","13020","https://goodreads.com/book/show/5784403-beauty-and-the-beast"
"God is Speaking are you Listening?","Lola Love","https://www.goodreads.com/author/show/14625357.Lola_Love","5.0","1","https://goodreads.com/book/show/36362908-god-is-speaking-are-you-listening"
"The French Connection","Robin Moore","https://www.goodreads.com/author/show/84003.Robin_Moore","3.55","425","https://goodreads.com/book/show/2934374-the-french-connection"
"Atonement","Ian McEwan","https://www.goodreads.com/author/show/2408.Ian_McEwan","3.9","420229","https://goodreads.com/book/show/6867.Atonement"
"L'ultima legione","Valerio Massimo Manfredi","https://www.goodreads.com/author/show/33451.Valerio_Massimo_Manfredi","3.78","4822","https://goodreads.com/book/show/3705824-l-ultima-legione"
"Hell","Lolita Pille","https://www.goodreads.com/author/show/223562.Lolita_Pille","3.48","1683","https://goodreads.com/book/show/393626.Hell"
"Ben-Hur: A Tale of the Christ","Lew Wallace","https://www.goodreads.com/author/show/16104262.Lew_Wallace","4.03","31866","https://goodreads.com/book/show/387749.Ben_Hur"
"O Olhar de um Desconhecido","Karin Fossum","https://www.goodreads.com/author/show/163027.Karin_Fossum","3.79","9522","https://goodreads.com/book/show/6753107-o-olhar-de-um-desconhecido"
"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)","Ann Brashares","https://www.goodreads.com/author/show/3681.Ann_Brashares","3.81","67234","https://goodreads.com/book/show/5453.Forever_in_Blue"
"The Knight of the Rose (Dark Secrets, #1.2)","Angela M. Hudson","https://www.goodreads.com/author/show/5355122.Angela_M_Hudson","4.25","1509","https://goodreads.com/book/show/13570791-the-knight-of-the-rose"
"Johnny Got His Gun","Dalton Trumbo","https://www.goodreads.com/author/show/29068.Dalton_Trumbo","4.18","33003","https://goodreads.com/book/show/51606.Johnny_Got_His_Gun"
"Code Blue: An Oath to the Badge and Gun Part 2","Jamell Crouthers","https://www.goodreads.com/author/show/15056376.Jamell_Crouthers","4.33","3","https://goodreads.com/book/show/38601691-code-blue"
"Going All In","Stephanie C. Lyons-Keeley","https://www.goodreads.com/author/show/15749002.Stephanie_C_Lyons_Keeley","4.08","40","https://goodreads.com/book/show/36338617-going-all-in"
"Nice Work","David Lodge","https://www.goodreads.com/author/show/6570.David_Lodge","3.84","4800","https://goodreads.com/book/show/69935.Nice_Work"
"Cloudy with a Chance of Meatballs Junior Novelization","Stacia Deutsch","https://www.goodreads.com/author/show/179162.Stacia_Deutsch","3.87","78","https://goodreads.com/book/show/6225082-cloudy-with-a-chance-of-meatballs-junior-novelization"
"The Howling","Gary Brandner","https://www.goodreads.com/author/show/248431.Gary_Brandner","3.94","12219","https://goodreads.com/book/show/481462.The_Howling"
"Into Thin Air: A Personal Account of the Mount Everest Disaster","Jon Krakauer","https://www.goodreads.com/author/show/1235.Jon_Krakauer","4.17","369081","https://goodreads.com/book/show/1898.Into_Thin_Air"
"Rashomon","Ryūnosuke Akutagawa","https://www.goodreads.com/author/show/5775185.Ry_nosuke_Akutagawa","4.08","1658","https://goodreads.com/book/show/16171608-rashomon"
"The Odessa File","Frederick Forsyth","https://www.goodreads.com/author/show/36714.Frederick_Forsyth","4.11","51437","https://goodreads.com/book/show/149572.The_Odessa_File"
"Ghost World","Daniel Clowes","https://www.goodreads.com/author/show/5129.Daniel_Clowes","3.83","63715","https://goodreads.com/book/show/62953.Ghost_World"
"Confessions Of A Dangerous Mind","Chuck Barris","https://www.goodreads.com/author/show/50312.Chuck_Barris","3.69","1414","https://goodreads.com/book/show/537257.Confessions_Of_A_Dangerous_Mind"
"A Most Wanted Man","John le Carré","https://www.goodreads.com/author/show/1411964.John_le_Carr_","3.5","10519","https://goodreads.com/book/show/3281277-a-most-wanted-man"
"Beloved","Toni Morrison","https://www.goodreads.com/author/show/3534.Toni_Morrison","3.83","300305","https://goodreads.com/book/show/6149.Beloved"
"Richard III","William Shakespeare","https://www.goodreads.com/author/show/947.William_Shakespeare","3.93","41476","https://goodreads.com/book/show/42058.Richard_III"
"Os Cinco na Ilha do Tesouro (Famous Five, #1)","Enid Blyton","https://www.goodreads.com/author/show/10657.Enid_Blyton","4.09","22798","https://goodreads.com/book/show/15782714-os-cinco-na-ilha-do-tesouro"
"Manon Lescaut","Antoine François Prévost","https://www.goodreads.com/author/show/8563709.Antoine_Fran_ois_Pr_vost","3.51","8886","https://goodreads.com/book/show/24924072-manon-lescaut"
"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)","Jules Verne","https://www.goodreads.com/author/show/696805.Jules_Verne","3.88","183738","https://goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea"
"Red Dragon (Hannibal Lecter, #1)","Thomas  Harris","https://www.goodreads.com/author/show/12455.Thomas_Harris","4.04","253388","https://goodreads.com/book/show/28877.Red_Dragon"
"Der Schatten im Norden","Philip Pullman","https://www.goodreads.com/author/show/3618.Philip_Pullman","3.85","13169","https://goodreads.com/book/show/18164277-der-schatten-im-norden"
"Congo","Michael Crichton","https://www.goodreads.com/author/show/5194.Michael_Crichton","3.59","150910","https://goodreads.com/book/show/7672.Congo"
"The Way We Live Now","Anthony Trollope","https://www.goodreads.com/author/show/20524.Anthony_Trollope","4.06","10773","https://goodreads.com/book/show/149785.The_Way_We_Live_Now"
"Nemesis (Miss Marple, #12)","Agatha Christie","https://www.goodreads.com/author/show/123715.Agatha_Christie","3.85","23213","https://goodreads.com/book/show/31304.Nemesis"
"Confessions of a Teenage Drama Queen","Dyan Sheldon","https://www.goodreads.com/author/show/11645.Dyan_Sheldon","3.34","3843","https://goodreads.com/book/show/1193251.Confessions_of_a_Teenage_Drama_Queen"
"The A.B.C. Murders (Hercule Poirot, #13)","Agatha Christie","https://www.goodreads.com/author/show/123715.Agatha_Christie","4.01","85888","https://goodreads.com/book/show/16322.The_A_B_C_Murders"
"CINCO HISTORIAS De Animales Te Cuento: VAROLES MORALES / ENSEÑANZA PARA LA VIDA","Loriette Silva - Lopez","https://www.goodreads.com/author/show/18756084.Loriette_Silva_Lopez","5.0","2","https://goodreads.com/book/show/43713119-cinco-historias-de-animales-te-cuento"
"Trolls: Junior Novelization","Scholastic Inc.","https://www.goodreads.com/author/show/5609118.Scholastic_Inc_","4.43","14","https://goodreads.com/book/show/32326641-trolls"
"The Witches of Eastwick (Eastwick #1)","John Updike","https://www.goodreads.com/author/show/6878.John_Updike","3.26","14600","https://goodreads.com/book/show/217518.The_Witches_of_Eastwick"
"Catching Fire (The Hunger Games, #2)","Suzanne Collins","https://www.goodreads.com/author/show/153394.Suzanne_Collins","4.29","2326","https://goodreads.com/book/show/6148028-catching-fire"
